symbol,breakout_ts,level,tp1,tp2,sl,expires_at,tier,confluence,touches,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,published,skip_reason,filled,fill_ts,tp1_hit_ts,tp2_hit_ts,sl_hit_ts,tp1_hold_hours,tp2_hold_hours,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
NEAR,2026-04-09 12:00:00+00:00,1.3,1.4,1.5,1.2,2026-04-12 12:00:00+00:00,Major,3.0,6,1.1715481171548094,87.58620689655172,76.25260088690497,0.9999999999999978,False,per_token_cap,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-09 16:00:00+00:00,1.3,1.4,1.5,1.2,2026-04-12 16:00:00+00:00,Major,3.0,6,0.90794979079498,86.76470588235294,76.14557583472731,0.9999999999999978,False,per_token_cap,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-09 20:00:00+00:00,1.3,1.4,1.5,1.2,2026-04-12 20:00:00+00:00,Major,3.0,6,0.9665271966527206,86.95652173913044,75.39693848471285,0.9999999999999978,False,per_token_cap,False,,,,,,,,0.0,,0.0,0
HYPE,2026-04-10 12:00:00+00:00,40.5,42.0,43.5,39.0,2026-04-13 12:00:00+00:00,Major,2.0,7,0.8973607038123173,84.19811320754715,73.1727970186325,1.0,True,,True,2026-04-12 12:00:00+00:00,2026-04-13 12:00:00+00:00,2026-04-13 16:00:00+00:00,,24.0,28.0,2026-04-13 16:00:00+00:00,43.5,TP2,7.347407407407407,28
HYPE,2026-04-10 16:00:00+00:00,40.5,42.0,43.5,39.0,2026-04-13 16:00:00+00:00,Major,2.0,7,0.8914956011730222,84.17945690672961,75.29896599609867,1.0,False,per_token_cap,True,2026-04-12 12:00:00+00:00,2026-04-13 12:00:00+00:00,2026-04-13 16:00:00+00:00,,24.0,28.0,2026-04-13 16:00:00+00:00,43.5,TP2,7.347407407407407,28
HYPE,2026-04-10 20:00:00+00:00,40.5,42.0,43.5,39.0,2026-04-13 20:00:00+00:00,Major,2.0,7,0.6568914956011714,83.39529120198262,74.58902827973205,1.0,False,per_token_cap,True,2026-04-12 12:00:00+00:00,2026-04-13 12:00:00+00:00,2026-04-13 16:00:00+00:00,,24.0,28.0,2026-04-13 16:00:00+00:00,43.5,TP2,7.347407407407407,28
AAVE,2026-04-13 04:00:00+00:00,90.5,94.5,108.0,85.0,2026-04-16 04:00:00+00:00,Major,1.0,1,1.0826353992183155,52.496954933008524,68.2902933988118,0.7272727272727273,False,quality,False,,,,,,,,0.0,,0.0,0
AAVE,2026-04-13 08:00:00+00:00,90.5,94.5,108.0,85.0,2026-04-16 08:00:00+00:00,Major,1.0,1,0.6722501395868229,48.069241011984005,68.6354254391241,0.7272727272727273,False,quality,False,,,,,,,,0.0,,0.0,0
AAVE,2026-04-13 12:00:00+00:00,90.5,94.5,108.0,85.0,2026-04-16 12:00:00+00:00,Major,1.0,1,0.7328308207705196,48.77408056042031,71.17387552294474,0.7272727272727273,False,quality,False,,,,,,,,0.0,,0.0,0
SUI,2026-04-13 16:00:00+00:00,0.905,0.973,1.073,0.861,2026-04-16 16:00:00+00:00,Major,1.0,1,0.6162007168458771,62.5609756097561,74.39485900633032,1.545454545454543,False,quality,False,,,,,,,,0.0,,0.0,0
AAVE,2026-04-13 16:00:00+00:00,90.5,94.5,108.0,85.0,2026-04-16 16:00:00+00:00,Major,1.0,1,1.2350642099385811,53.95513577331757,74.39485900633032,0.7272727272727273,False,quality,False,,,,,,,,0.0,,0.0,0
AVAX,2026-04-13 16:00:00+00:00,9.1,9.7,10.5,8.3,2026-04-16 16:00:00+00:00,Major,2.0,7,0.5497382198952893,60.792951541850215,74.39485900633032,0.7500000000000006,True,,False,,,,,,,,0.0,,0.0,0
HYPE,2026-04-13 16:00:00+00:00,42.5,48.5,53.0,40.0,2026-04-16 16:00:00+00:00,Major,1.0,2,0.6661423515532839,84.19711129991501,74.39485900633032,2.4,False,quality,False,,,,,,,,0.0,,0.0,0
BTC,2026-04-13 20:00:00+00:00,71900.0,73800.0,76000.0,69800.0,2026-04-16 20:00:00+00:00,Major,2.0,7,1.1065193938288684,76.3797568884324,76.3797568884324,0.9047619047619048,True,,False,,,,,,,,0.0,,0.0,0
SOL,2026-04-13 20:00:00+00:00,83.0,88.5,96.0,79.0,2026-04-16 20:00:00+00:00,Major,2.0,1,0.8662083553675312,63.51172047766473,76.3797568884324,1.375,False,quality,True,2026-04-15 04:00:00+00:00,2026-04-16 16:00:00+00:00,2026-05-10 16:00:00+00:00,,36.0,612.0,2026-05-10 16:00:00+00:00,96.0,TP2,15.60265060240964,612
LINK,2026-04-13 20:00:00+00:00,8.9,9.6,10.1,8.2,2026-04-16 20:00:00+00:00,Major,1.0,6,1.0574712643678146,65.23605150214593,76.3797568884324,0.9999999999999974,True,,False,,,,,,,,0.0,,0.0,0
SUI,2026-04-13 20:00:00+00:00,0.905,0.973,1.073,0.861,2026-04-16 20:00:00+00:00,Major,1.0,1,1.0979211469534045,65.88888888888889,76.3797568884324,1.545454545454543,False,quality,False,,,,,,,,0.0,,0.0,0
AAVE,2026-04-13 20:00:00+00:00,94.5,108.0,0.0,90.5,2026-04-16 20:00:00+00:00,Major,2.0,21,1.7118927973199347,63.26530612244898,76.3797568884324,3.375,True,,False,,,,,,,,0.0,,0.0,0
AVAX,2026-04-13 20:00:00+00:00,9.1,9.7,10.5,8.3,2026-04-16 20:00:00+00:00,Major,2.0,7,1.026178010471205,64.82213438735178,76.3797568884324,0.7500000000000006,False,per_token_cap,False,,,,,,,,0.0,,0.0,0
HYPE,2026-04-13 20:00:00+00:00,42.5,48.5,53.0,40.0,2026-04-16 20:00:00+00:00,Major,1.0,2,1.0349980338183262,85.04823151125399,76.3797568884324,2.4,False,quality,False,,,,,,,,0.0,,0.0,0
UNI,2026-04-13 20:00:00+00:00,3.1,3.4,3.7,2.9225714285714286,2026-04-16 20:00:00+00:00,Major,3.0,6,0.7552334943639288,53.45016429353779,76.3797568884324,1.6908212560386457,True,,True,2026-04-14 16:00:00+00:00,2026-04-16 12:00:00+00:00,2026-05-08 16:00:00+00:00,,44.0,576.0,2026-05-08 16:00:00+00:00,3.7,TP2,19.29483870967742,576
XRP,2026-04-16 12:00:00+00:00,1.4,1.5,1.6,1.3,2026-04-19 12:00:00+00:00,Major,1.0,2,0.5873702422145353,69.98888477213781,72.55327114346247,1.0000000000000022,False,quality,False,,,,,,,,0.0,,0.0,0
ADA,2026-04-16 12:00:00+00:00,0.246,0.264,0.274,0.235,2026-04-19 12:00:00+00:00,Major,3.0,12,0.549757934373321,54.22535211267607,72.55327114346247,1.6363636363636365,True,,True,2026-04-19 04:00:00+00:00,2026-05-05 20:00:00+00:00,2026-05-08 20:00:00+00:00,,400.0,472.0,2026-05-08 20:00:00+00:00,0.274,TP2,11.322113821138222,472
