symbol,breakout_ts,level,tp,sl,tp_source,expires_at,confluence,touches,tier,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,passed_quality,passed_momentum,published,skip_reason,filled,fill_ts,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
AVAX,2025-07-02 16:00:00+00:00,18.0,20.0,17.0,tp1,2025-07-05 16:00:00+00:00,1.0,2,Major,0.632558139534884,64.50742240215925,79.33248445042689,2.0,False,True,False,quality,True,2025-07-04 08:00:00+00:00,2025-07-10 20:00:00+00:00,20.0,TP,11.05111111111111,156
DOGE,2025-07-02 16:00:00+00:00,0.16,0.186,0.151,tp2,2025-07-05 16:00:00+00:00,3.0,15,Major,1.1927176534661152,68.07649871276205,79.33248445042689,2.8888888888888857,True,True,False,per_token_cap,False,,,0.0,,0.0,0
BNB,2025-07-02 16:00:00+00:00,648.0,687.0,638.0,tp2,2025-07-05 16:00:00+00:00,3.0,21,Major,1.1222373944267452,81.30865484880083,79.33248445042689,3.9,True,True,False,per_token_cap,False,,,0.0,,0.0,0
DOT,2025-07-02 16:00:00+00:00,3.4,3.8,3.2,tp2,2025-07-05 16:00:00+00:00,2.0,4,Major,0.8937232524964352,67.37357259380099,79.33248445042689,2.000000000000002,True,True,True,,True,2025-07-04 12:00:00+00:00,2025-07-10 20:00:00+00:00,3.8,TP,11.704705882352938,152
NEAR,2025-07-02 16:00:00+00:00,2.0,2.5,1.8,tp2,2025-07-05 16:00:00+00:00,2.0,6,Major,1.5598885793871882,66.13207547169813,79.33248445042689,2.5000000000000004,True,True,False,per_token_cap,False,,,0.0,,0.0,0
UNI,2025-07-02 16:00:00+00:00,6.6,8.3,5.9,tp2,2025-07-05 16:00:00+00:00,2.0,16,Major,1.4468339307048985,68.16265060240964,79.33248445042689,2.4285714285714324,True,True,False,per_token_cap,False,,,0.0,,0.0,0
ETH,2025-07-02 20:00:00+00:00,2460.0,2680.0,2360.0,tp1,2025-07-05 20:00:00+00:00,3.0,57,Major,0.864827061443261,78.66187170694994,78.11442241529913,2.2,True,True,False,per_token_cap,False,,,0.0,,0.0,0
ADA,2025-07-02 20:00:00+00:00,0.554,0.665,0.51,tp2,2025-07-05 20:00:00+00:00,1.0,1,Major,0.8924776880577963,61.75321049692907,78.11442241529913,2.5227272727272703,False,True,False,quality,False,,,0.0,,0.0,0
AAVE,2025-07-02 20:00:00+00:00,264.0,308.0,250.0,tp2,2025-07-05 20:00:00+00:00,2.0,2,Major,0.6128370351704535,71.30496203425747,78.11442241529913,3.142857142857143,False,True,False,quality,True,2025-07-04 12:00:00+00:00,2025-07-10 16:00:00+00:00,308.0,TP,16.606666666666666,148
AVAX,2025-07-02 20:00:00+00:00,17.0,20.0,15.5,tp2,2025-07-05 20:00:00+00:00,1.0,1,Major,1.4046511627907003,63.67403314917128,78.11442241529913,2.0,False,True,False,quality,False,,,0.0,,0.0,0
