breakout_atr_mult,min_confluence,min_touches,min_token_rsi,retest_ttl_hours,max_hold_days,major_only,tp_cascade,min_rr,cascade_skipped,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
2.0,50.0,3,0.0,168,14,False,False,2.0,0,15,3,20.0,66.67,4.676,-4.605,1.582,0.316,0.548,2,1,0
2.0,50.0,3,0.0,168,21,False,False,2.0,0,15,3,20.0,66.67,4.676,-4.605,1.582,0.316,0.548,2,1,0
2.0,50.0,3,0.0,168,30,False,False,2.0,0,15,3,20.0,66.67,4.676,-4.605,1.582,0.316,0.548,2,1,0
2.0,50.0,3,55.0,168,7,False,False,2.0,0,15,3,20.0,66.67,4.676,-4.605,1.582,0.316,0.548,2,1,0
2.0,50.0,3,55.0,168,14,False,False,2.0,0,15,3,20.0,66.67,4.676,-4.605,1.582,0.316,0.548,2,1,0
2.0,50.0,3,55.0,168,21,False,False,2.0,0,15,3,20.0,66.67,4.676,-4.605,1.582,0.316,0.548,2,1,0
2.0,50.0,3,55.0,168,30,False,False,2.0,0,15,3,20.0,66.67,4.676,-4.605,1.582,0.316,0.548,2,1,0
2.0,0.0,0,0.0,72,7,True,False,2.0,0,19,2,10.53,50.0,5.964,-0.003,2.981,0.314,0.444,1,0,1
2.0,0.0,0,55.0,72,7,True,False,2.0,0,19,2,10.53,50.0,5.964,-0.003,2.981,0.314,0.444,1,0,1
2.0,0.0,3,0.0,72,7,True,False,2.0,0,19,2,10.53,50.0,5.964,-0.003,2.981,0.314,0.444,1,0,1
2.0,0.0,3,55.0,72,7,True,False,2.0,0,19,2,10.53,50.0,5.964,-0.003,2.981,0.314,0.444,1,0,1
2.0,50.0,0,0.0,72,7,True,False,2.0,0,19,2,10.53,50.0,5.964,-0.003,2.981,0.314,0.444,1,0,1
2.0,50.0,0,55.0,72,7,True,False,2.0,0,19,2,10.53,50.0,5.964,-0.003,2.981,0.314,0.444,1,0,1
1.0,50.0,3,55.0,168,7,True,False,2.0,0,84,41,48.81,51.22,5.672,-4.732,0.597,0.291,1.866,17,16,6
2.0,0.0,0,0.0,168,7,True,True,2.0,16,8,3,37.5,33.33,5.796,-1.756,0.762,0.286,0.495,0,1,2
2.0,0.0,0,55.0,168,7,True,True,2.0,16,8,3,37.5,33.33,5.796,-1.756,0.762,0.286,0.495,0,1,2
2.0,0.0,3,0.0,168,7,True,True,2.0,16,8,3,37.5,33.33,5.796,-1.756,0.762,0.286,0.495,0,1,2
2.0,0.0,3,55.0,168,7,True,True,2.0,16,8,3,37.5,33.33,5.796,-1.756,0.762,0.286,0.495,0,1,2
2.0,50.0,0,0.0,168,7,True,True,2.0,16,8,3,37.5,33.33,5.796,-1.756,0.762,0.286,0.495,0,1,2
2.0,50.0,0,55.0,168,7,True,True,2.0,16,8,3,37.5,33.33,5.796,-1.756,0.762,0.286,0.495,0,1,2
1.0,0.0,0,55.0,168,7,False,False,2.0,0,137,65,47.45,46.15,6.321,-4.31,0.597,0.283,2.283,24,27,12
1.0,0.0,3,55.0,168,7,False,False,2.0,0,137,65,47.45,46.15,6.321,-4.31,0.597,0.283,2.283,24,27,12
1.0,50.0,0,55.0,168,7,False,False,2.0,0,137,65,47.45,46.15,6.321,-4.31,0.597,0.283,2.283,24,27,12
1.5,0.0,0,0.0,168,7,False,False,2.0,0,64,23,35.94,43.48,6.936,-4.176,0.655,0.235,1.129,10,9,3
1.5,0.0,3,0.0,168,7,False,False,2.0,0,64,23,35.94,43.48,6.936,-4.176,0.655,0.235,1.129,10,9,3
1.5,50.0,0,0.0,168,7,False,False,2.0,0,64,23,35.94,43.48,6.936,-4.176,0.655,0.235,1.129,10,9,3
1.0,0.0,0,0.0,168,7,True,False,2.0,0,116,56,48.28,48.21,5.733,-4.455,0.457,0.221,1.651,21,22,10
1.0,0.0,3,0.0,168,7,True,False,2.0,0,116,56,48.28,48.21,5.733,-4.455,0.457,0.221,1.651,21,22,10
1.0,50.0,0,0.0,168,7,True,False,2.0,0,116,56,48.28,48.21,5.733,-4.455,0.457,0.221,1.651,21,22,10
2.0,0.0,0,0.0,72,7,False,False,2.0,0,27,2,7.41,50.0,5.964,-0.003,2.981,0.221,0.312,1,0,1
2.0,0.0,0,55.0,72,7,False,False,2.0,0,27,2,7.41,50.0,5.964,-0.003,2.981,0.221,0.312,1,0,1
2.0,0.0,3,0.0,72,7,False,False,2.0,0,27,2,7.41,50.0,5.964,-0.003,2.981,0.221,0.312,1,0,1
2.0,0.0,3,55.0,72,7,False,False,2.0,0,27,2,7.41,50.0,5.964,-0.003,2.981,0.221,0.312,1,0,1
2.0,50.0,0,0.0,72,7,False,False,2.0,0,27,2,7.41,50.0,5.964,-0.003,2.981,0.221,0.312,1,0,1
2.0,50.0,0,55.0,72,7,False,False,2.0,0,27,2,7.41,50.0,5.964,-0.003,2.981,0.221,0.312,1,0,1
1.0,0.0,0,0.0,168,21,False,False,2.0,0,146,69,47.26,44.93,7.169,-5.255,0.327,0.154,1.283,31,35,1
1.0,0.0,3,0.0,168,21,False,False,2.0,0,146,69,47.26,44.93,7.169,-5.255,0.327,0.154,1.283,31,35,1
1.0,50.0,0,0.0,168,21,False,False,2.0,0,146,69,47.26,44.93,7.169,-5.255,0.327,0.154,1.283,31,35,1
1.0,50.0,3,55.0,168,21,True,False,2.0,0,84,41,48.81,46.34,6.537,-5.079,0.304,0.149,0.951,19,20,0
1.0,50.0,3,55.0,168,30,True,False,2.0,0,84,41,48.81,46.34,6.537,-5.079,0.304,0.149,0.951,19,20,0
1.0,50.0,3,55.0,168,7,False,False,2.0,0,94,41,43.62,48.78,5.666,-4.81,0.3,0.131,0.839,15,16,8
1.0,0.0,0,0.0,168,30,False,False,2.0,0,146,69,47.26,44.93,7.169,-5.347,0.276,0.13,1.083,31,36,0
1.0,0.0,3,0.0,168,30,False,False,2.0,0,146,69,47.26,44.93,7.169,-5.347,0.276,0.13,1.083,31,36,0
1.0,50.0,0,0.0,168,30,False,False,2.0,0,146,69,47.26,44.93,7.169,-5.347,0.276,0.13,1.083,31,36,0
2.0,0.0,0,0.0,168,7,False,True,2.0,14,19,3,15.79,33.33,5.796,-1.756,0.762,0.12,0.208,0,1,2
2.0,0.0,0,55.0,168,7,False,True,2.0,14,19,3,15.79,33.33,5.796,-1.756,0.762,0.12,0.208,0,1,2
2.0,0.0,3,0.0,168,7,False,True,2.0,14,19,3,15.79,33.33,5.796,-1.756,0.762,0.12,0.208,0,1,2
2.0,0.0,3,55.0,168,7,False,True,2.0,14,19,3,15.79,33.33,5.796,-1.756,0.762,0.12,0.208,0,1,2
2.0,50.0,0,0.0,168,7,False,True,2.0,14,19,3,15.79,33.33,5.796,-1.756,0.762,0.12,0.208,0,1,2
2.0,50.0,0,55.0,168,7,False,True,2.0,14,19,3,15.79,33.33,5.796,-1.756,0.762,0.12,0.208,0,1,2
1.0,0.0,0,55.0,168,14,True,False,2.0,0,110,54,49.09,44.44,6.264,-4.595,0.231,0.114,0.835,21,26,4
1.0,0.0,3,55.0,168,14,True,False,2.0,0,110,54,49.09,44.44,6.264,-4.595,0.231,0.114,0.835,21,26,4
1.0,50.0,0,55.0,168,14,True,False,2.0,0,110,54,49.09,44.44,6.264,-4.595,0.231,0.114,0.835,21,26,4
2.0,50.0,3,0.0,72,7,True,False,2.0,0,13,2,15.38,50.0,5.964,-4.605,0.679,0.105,0.148,1,1,0
2.0,50.0,3,0.0,72,14,True,False,2.0,0,13,2,15.38,50.0,5.964,-4.605,0.679,0.105,0.148,1,1,0
2.0,50.0,3,0.0,72,21,True,False,2.0,0,13,2,15.38,50.0,5.964,-4.605,0.679,0.105,0.148,1,1,0
2.0,50.0,3,0.0,72,30,True,False,2.0,0,13,2,15.38,50.0,5.964,-4.605,0.679,0.105,0.148,1,1,0
2.0,50.0,3,55.0,72,7,True,False,2.0,0,13,2,15.38,50.0,5.964,-4.605,0.679,0.105,0.148,1,1,0
