max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
12,1,0.08333333333333333,2025-10-01,165,46,34,101,18,10000.0,10049.21,0.49,0.8,-2.65,-0.64,0.3,29.4,8.67,-3.34,OFF
1,1,1.0,2025-11-01,138,6,5,132,0,10000.0,9170.13,-8.3,-15.1,-11.25,1.41,-1.34,20.0,11.23,-4.7,OFF
4,1,0.25,2025-11-01,138,18,14,114,6,10000.0,9516.96,-4.83,-8.93,-4.83,-0.34,-1.85,21.4,6.31,-3.48,OFF
12,1,0.08333333333333333,2025-11-01,138,33,21,87,18,10000.0,9999.87,-0.0,-0.0,-1.35,2.73,-0.0,38.1,5.48,-3.36,OFF
1,1,1.0,2025-12-01,133,4,3,129,0,10000.0,10332.67,3.33,7.59,-7.11,0.0,1.07,33.3,11.23,-3.62,OFF
4,1,0.25,2025-12-01,133,16,12,114,3,10000.0,9823.23,-1.77,-3.91,-5.26,-2.26,-0.74,25.0,6.31,-2.86,OFF
12,1,0.08333333333333333,2025-12-01,133,31,19,87,15,10000.0,10105.15,1.05,2.37,-1.02,2.43,2.33,42.1,5.48,-2.83,OFF
1,1,1.0,2026-01-01,127,2,1,125,0,10000.0,9772.57,-2.27,-6.15,-2.27,0.0,-2.71,0.0,0.0,-2.27,OFF
4,1,0.25,2026-01-01,127,17,13,105,5,10000.0,9863.29,-1.37,-3.73,-3.3,-1.36,-1.13,30.8,5.07,-2.84,OFF
12,1,0.08333333333333333,2026-01-01,127,27,15,84,16,10000.0,10028.48,0.28,0.79,-1.0,0.09,0.79,40.0,4.85,-2.84,OFF
1,1,1.0,2026-02-01,93,3,2,90,0,10000.0,9111.59,-8.88,-28.49,-8.88,-2.0,-3.21,0.0,0.0,-4.54,OFF
4,1,0.25,2026-02-01,93,12,8,80,1,10000.0,9856.05,-1.44,-5.09,-3.44,2.0,-1.48,25.0,9.07,-3.91,OFF
12,1,0.08333333333333333,2026-02-01,93,30,18,32,31,10000.0,9789.04,-2.11,-7.4,-2.8,-3.92,-2.64,16.7,7.01,-3.09,OFF
1,1,1.0,2026-03-01,90,3,2,87,0,10000.0,10572.03,5.72,31.92,-2.44,0.0,13.1,50.0,8.36,-2.44,OFF
4,1,0.25,2026-03-01,90,9,5,81,0,10000.0,10182.92,1.83,9.45,-2.59,0.0,3.65,40.0,9.07,-3.48,OFF
12,1,0.08333333333333333,2026-03-01,90,25,13,39,26,10000.0,9926.74,-0.73,-3.6,-2.21,-2.45,-1.63,23.1,7.01,-2.96,OFF
1,1,1.0,2026-04-01,60,3,2,57,0,10000.0,9995.47,-0.05,-0.39,-2.85,0.0,-0.14,50.0,2.89,-2.85,OFF
4,1,0.25,2026-04-01,60,8,4,52,0,10000.0,10099.54,1.0,8.92,-1.4,0.0,6.37,50.0,4.86,-2.8,OFF
12,1,0.08333333333333333,2026-04-01,60,24,13,19,17,10000.0,9970.75,-0.29,-2.49,-2.03,0.0,-1.22,30.8,5.27,-2.73,OFF
1,1,1.0,2025-05-01,157,8,7,149,0,10000.0,10398.61,3.99,9.19,-5.91,1.35,1.56,28.6,9.32,-2.68,ON
4,1,0.25,2025-05-01,157,15,11,140,2,10000.0,10452.8,4.53,10.48,-1.37,2.51,7.64,45.5,7.75,-3.43,ON
12,1,0.08333333333333333,2025-05-01,157,39,27,111,7,10000.0,9977.37,-0.23,-0.51,-3.01,1.99,-0.17,29.6,7.59,-3.32,ON
1,1,1.0,2025-06-01,146,6,5,140,0,10000.0,11051.71,10.52,32.06,-4.48,-1.73,7.16,40.0,9.32,-2.47,ON
4,1,0.25,2025-06-01,146,13,9,128,5,10000.0,10299.57,3.0,8.56,-2.89,1.73,2.96,44.4,6.83,-3.03,ON
12,1,0.08333333333333333,2025-06-01,146,33,21,104,9,10000.0,9885.42,-1.15,-3.15,-3.59,1.73,-0.88,28.6,5.76,-3.21,ON
1,1,1.0,2025-07-01,123,2,1,121,0,10000.0,10448.55,4.49,17.13,0.0,0.0,0.0,100.0,4.49,0.0,ON
4,1,0.25,2025-07-01,123,7,3,116,0,10000.0,9924.55,-0.75,-2.69,-1.11,0.0,-2.43,33.3,4.49,-3.77,ON
12,1,0.08333333333333333,2025-07-01,123,15,3,108,0,10000.0,9974.66,-0.25,-0.91,-0.37,0.0,-2.45,33.3,4.49,-3.77,ON
1,1,1.0,2025-08-01,72,2,1,70,0,10000.0,9706.89,-2.93,-14.31,-2.93,0.0,-4.88,0.0,0.0,-2.93,ON
4,1,0.25,2025-08-01,72,11,8,58,3,10000.0,10337.99,3.38,18.74,-1.7,2.29,11.03,37.5,9.95,-3.16,ON
12,1,0.08333333333333333,2025-08-01,72,29,19,21,22,10000.0,10056.31,0.56,2.94,-0.85,-0.16,3.48,31.6,7.21,-2.79,ON
1,1,1.0,2025-09-01,46,1,0,45,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-09-01,46,4,0,42,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
12,1,0.08333333333333333,2025-09-01,46,20,10,13,13,10000.0,10003.13,0.03,0.29,-1.05,0.0,0.28,40.0,3.97,-2.57,ON
