max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
1,1,1.0,2025-09-01,754,1,0,753,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-09-01,754,7,3,747,0,10000.0,10115.05,1.15,1.66,-0.88,0.0,1.87,33.3,8.21,-1.8,OFF
12,1,0.08333333333333333,2025-09-01,754,16,4,738,0,10000.0,10067.81,0.68,0.98,-0.3,0.0,3.27,50.0,5.86,-1.8,OFF
1,1,1.0,2025-10-01,671,1,0,670,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-10-01,671,6,2,665,0,10000.0,9927.81,-0.72,-1.17,-1.41,0.0,-0.83,50.0,2.8,-5.65,OFF
12,1,0.08333333333333333,2025-10-01,671,31,19,630,10,10000.0,9588.95,-4.11,-6.61,-5.22,-1.84,-1.27,36.8,6.6,-7.97,OFF
1,1,1.0,2025-11-01,558,4,3,554,0,10000.0,7441.07,-25.59,-42.79,-25.59,0.0,-1.67,0.0,0.0,-9.32,OFF
4,1,0.25,2025-11-01,558,18,14,537,3,10000.0,8563.43,-14.37,-25.4,-15.51,-1.41,-1.64,28.6,7.04,-8.74,OFF
12,1,0.08333333333333333,2025-11-01,558,44,32,503,11,10000.0,8937.31,-10.63,-19.12,-12.14,-1.41,-1.58,28.1,6.99,-8.41,OFF
1,1,1.0,2025-12-01,519,1,0,518,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2025-12-01,519,4,0,515,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
12,1,0.08333333333333333,2025-12-01,519,17,5,500,2,10000.0,9824.44,-1.76,-3.88,-2.05,0.0,-1.89,20.0,3.64,-6.18,OFF
1,1,1.0,2026-01-01,443,1,0,442,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2026-01-01,443,4,0,439,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
12,1,0.08333333333333333,2026-01-01,443,20,8,417,6,10000.0,10039.02,0.39,1.08,-0.93,0.0,1.16,50.0,4.94,-3.73,OFF
1,1,1.0,2026-02-01,357,2,1,355,0,10000.0,10097.33,0.97,3.55,0.0,0.0,0.0,100.0,0.97,0.0,OFF
4,1,0.25,2026-02-01,357,12,8,343,2,10000.0,10128.28,1.28,4.7,-2.26,2.0,2.08,62.5,4.53,-5.79,OFF
12,1,0.08333333333333333,2026-02-01,357,35,23,311,11,10000.0,10121.53,1.22,4.45,-1.62,2.0,2.75,56.5,4.58,-4.44,OFF
1,1,1.0,2026-03-01,295,4,3,291,0,10000.0,9963.38,-0.37,-1.81,-8.05,0.0,-0.22,33.3,8.36,-4.1,OFF
4,1,0.25,2026-03-01,295,12,8,282,1,10000.0,9984.11,-0.16,-0.79,-5.05,0.0,-0.16,37.5,7.59,-4.57,OFF
12,1,0.08333333333333333,2026-03-01,295,31,19,260,4,10000.0,10157.12,1.57,8.07,-2.99,0.0,2.7,47.4,7.31,-4.58,OFF
1,1,1.0,2026-04-01,194,1,0,193,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OFF
4,1,0.25,2026-04-01,194,9,5,185,0,10000.0,10216.66,2.17,20.31,-1.62,0.0,12.58,60.0,6.62,-5.7,OFF
12,1,0.08333333333333333,2026-04-01,194,28,16,160,6,10000.0,10438.87,4.39,44.86,-0.72,0.0,62.48,68.8,6.27,-3.38,OFF
1,1,1.0,2025-05-01,432,1,0,431,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-05-01,432,9,5,423,0,10000.0,10807.77,8.08,19.1,0.0,1.55,0.0,100.0,6.29,0.0,ON
12,1,0.08333333333333333,2025-05-01,432,33,21,384,15,10000.0,9778.52,-2.21,-4.91,-4.44,2.09,-1.11,42.9,6.63,-7.21,ON
1,1,1.0,2025-06-01,399,2,1,397,0,10000.0,12413.35,24.13,82.44,0.0,0.0,0.0,100.0,24.13,0.0,ON
4,1,0.25,2025-06-01,399,10,6,387,2,10000.0,10985.99,9.86,29.89,-2.19,1.73,13.67,83.3,9.46,-8.77,ON
12,1,0.08333333333333333,2025-06-01,399,26,14,365,8,10000.0,10253.98,2.54,7.22,-1.21,1.73,5.96,57.1,6.76,-3.98,ON
1,1,1.0,2025-07-01,335,2,1,333,0,10000.0,10369.0,3.69,13.95,0.0,0.0,0.0,100.0,3.69,0.0,ON
4,1,0.25,2025-07-01,335,6,2,329,0,10000.0,10328.85,3.29,12.37,0.0,0.0,0.0,100.0,6.58,0.0,ON
12,1,0.08333333333333333,2025-07-01,335,14,2,321,0,10000.0,10109.62,1.1,4.01,0.0,0.0,0.0,100.0,6.58,0.0,ON
1,1,1.0,2025-08-01,204,1,0,203,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-08-01,204,8,4,196,0,10000.0,9480.97,-5.19,-24.18,-5.19,-2.45,-4.66,25.0,1.29,-7.47,ON
12,1,0.08333333333333333,2025-08-01,204,24,12,169,11,10000.0,10105.43,1.05,5.6,-1.31,2.45,4.29,58.3,5.39,-5.02,ON
1,1,1.0,2025-09-01,128,1,0,127,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
4,1,0.25,2025-09-01,128,4,0,124,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ON
12,1,0.08333333333333333,2025-09-01,128,13,1,115,0,10000.0,10024.3,0.24,2.28,0.0,0.0,0.0,100.0,2.92,0.0,ON
