symbol,tier,entry_date,entry_price,stop_loss,tp_level,raw_rr,r1,r2,r3,r1_hit,r1_days,r2_hit,r2_days,r3_hit,r3_days,sl_hit,sl_days,tp_hit_before_sl,r1_hit_before_sl,r2_hit_before_sl,exit_date,exit_reason,exit_price,hold_days,pnl_r1,pnl_r2,close_d5,close_d7,close_d10,close_d14,close_d21,f_btc_rsi_floor,f_token_rsi_momentum,f_rr_min,f_di_bullish,f_adx_trend,f_mt_regime,f_bollinger,f_rvol,f_rsi_cap,btc_rsi,token_rsi,adx,di_plus,di_minus,mt_regime
XLM,top_20,2024-07-14,0.1023,0.09,0.11,1.0,0.11,0.12,0.13,True,4,False,0,False,0,True,22,True,True,False,2024-08-04,SL,0.09,22,7.53,-12.02,0.1031,0.1052,0.101,0.1015,0.0933,False,True,False,True,True,True,False,True,True,45.92,66.57,46.05,33.37,24.88,T
DOT,all,2024-07-14,6.233,5.7,7.14,1.72,7.14,8.55,0.0,False,0,False,0,False,0,True,11,False,False,False,2024-07-24,SL,5.7,11,-8.55,-8.55,6.093,6.333,5.917,0.0,0.0,False,False,True,False,True,True,True,False,True,45.92,53.3,23.88,17.93,27.3,T
AAVE,all,2024-07-14,99.26,85.5,117.6,1.33,117.6,129.4,139.4,True,20,False,0,False,0,True,23,True,True,False,2024-08-05,SL,85.5,23,18.48,-13.86,98.57,99.0,94.45,101.14,105.57,False,True,True,True,True,True,False,False,True,45.92,71.79,21.48,26.67,22.16,T
VET,all,2024-07-14,0.02931,0.02,0.04,1.0,0.04,0.0,0.0,False,0,False,0,False,0,True,23,False,False,False,2024-08-05,SL,0.02,23,-31.76,-31.76,0.03036,0.03057,0.0288,0.02814,0.02369,False,True,False,True,True,True,False,False,True,45.92,68.21,32.69,26.03,25.24,T
ALGO,all,2024-07-15,0.152,0.14,0.166,1.6,0.166,0.19,0.202,False,0,False,0,False,0,True,10,False,False,False,2024-07-24,SL,0.14,10,-7.89,-7.89,0.1577,0.1592,0.1397,0.0,0.0,True,True,True,False,True,True,False,False,True,67.42,70.33,36.93,23.34,26.99,T
BTC,top_3,2024-07-16,64724.06,60800,68500,0.96,68500,71500,0.0,True,12,False,0,False,0,True,19,True,True,False,2024-08-03,SL,60800,19,5.83,-6.06,67139.96,67532.01,65799.95,66784.69,0.0,True,True,False,True,True,True,False,False,True,78.38,78.38,37.0,26.39,23.03,T
BNB,selected,2024-07-16,585.3,495,632.7,0.52,632.7,710,0.0,False,0,False,0,False,0,True,20,False,False,False,2024-08-04,SL,495,20,-15.43,-15.43,593.1,587.2,570.6,574.3,0.0,True,True,False,False,True,True,False,False,True,78.38,77.2,35.53,24.7,26.1,T
TAO,selected,2024-07-16,299.1,230.9,355,0.82,355,392.3,423.5,True,4,False,0,False,0,True,20,True,True,False,2024-08-04,SL,230.9,20,18.69,-22.8,337.9,325.2,327.5,318.8,0.0,True,True,False,True,True,True,False,False,True,78.38,76.8,32.17,26.34,23.23,T
ICP,all,2024-07-16,9.717,8.6,11.1,1.23,11.1,12.4,13.3,False,0,False,0,False,0,True,17,False,False,False,2024-08-01,SL,8.6,17,-11.5,-11.5,10.343,10.149,9.92,8.932,0.0,True,True,True,True,True,True,False,True,False,78.38,82.45,39.67,33.6,20.42,T
QNT,all,2024-07-16,78.3,69.0,91.0,1.37,91.0,101.3,109.4,False,0,False,0,False,0,True,15,False,False,False,2024-07-30,SL,69.0,15,-11.88,-11.88,75.6,73.5,71.9,71.7,0.0,True,False,True,False,True,True,False,False,True,78.38,59.73,50.17,18.38,30.4,T
STX,all,2024-07-16,1.915,1.73,2.38,2.42,2.07,2.38,2.75,False,0,False,0,False,0,True,8,False,False,False,2024-07-23,SL,1.73,8,-9.66,-9.66,1.909,1.836,0.0,0.0,0.0,True,True,True,True,True,True,False,True,False,78.38,80.79,20.33,28.27,20.47,T
JUP,all,2024-07-16,0.9062,0.51,1.12,0.53,1.12,0.0,0.0,True,12,False,0,False,0,False,0,True,True,False,2024-08-14,TIMEOUT,0.7906,30,23.59,-12.76,1.0355,1.0081,0.9571,1.0883,0.7362,True,True,False,True,False,True,False,False,True,78.38,66.82,16.92,31.57,18.49,T
OP,all,2024-07-16,1.851,1.53,2.13,0.87,2.13,2.45,0.0,False,0,False,0,False,0,True,17,False,False,False,2024-08-01,SL,1.53,17,-17.34,-17.34,1.926,1.874,1.694,1.667,0.0,True,True,False,False,True,True,False,False,False,78.38,82.12,42.67,20.38,24.07,T
LTC,top_20,2024-07-17,73.2,65.5,79.0,0.75,79.0,83.5,89.0,False,0,False,0,False,0,True,17,False,False,False,2024-08-02,SL,65.5,17,-10.52,-10.52,73.98,72.92,71.31,71.69,0.0,True,True,False,False,True,True,True,False,True,76.25,76.97,47.44,18.69,26.73,T
AVAX,top_20,2024-07-17,28.01,25.1,31.1,1.06,31.1,35.2,37.2,True,5,False,0,False,0,True,16,True,True,False,2024-08-01,SL,25.1,16,11.03,-10.39,32.64,29.82,28.72,26.33,0.0,True,False,False,True,True,True,True,False,True,76.25,53.93,24.42,24.58,22.57,T
SUI,selected,2024-07-17,0.8674,0.75,0.97,0.83,0.97,1.05,1.15,False,0,False,0,False,0,True,9,False,False,False,2024-07-25,SL,0.75,9,-13.53,-13.53,0.8591,0.8145,0.0,0.0,0.0,True,True,False,True,True,True,False,False,True,76.25,78.25,38.61,23.27,22.78,T
NEAR,selected,2024-07-17,6.246,5.4,6.8,0.65,6.8,7.5,8.25,False,0,False,0,False,0,True,9,False,False,False,2024-07-25,SL,5.4,9,-13.54,-13.54,6.34,5.763,0.0,0.0,0.0,True,True,False,True,True,True,False,True,False,76.25,81.82,25.97,31.2,18.02,T
WLD,all,2024-07-17,2.819,2.34,3.2,0.79,3.2,3.58,0.0,True,1,False,0,False,0,True,6,True,True,False,2024-07-22,SL,2.34,6,13.52,-16.99,2.573,0.0,0.0,0.0,0.0,True,True,False,True,True,True,False,True,True,76.25,76.63,47.72,30.65,19.18,T
FET,all,2024-07-17,1.43,1.19,1.59,0.67,1.59,1.77,2.04,False,0,False,0,False,0,True,9,False,False,False,2024-07-25,SL,1.19,9,-16.78,-16.78,1.49,1.29,0.0,0.0,0.0,True,True,False,True,True,True,False,False,True,76.25,67.01,22.87,23.1,19.6,T
APT,all,2024-07-17,7.05,6.35,7.9,1.15,7.9,8.8,10.2,False,0,False,0,False,0,True,16,False,False,False,2024-08-01,SL,6.35,16,-9.93,-9.93,7.49,7.15,6.98,6.6,0.0,True,True,False,False,True,True,True,False,True,76.25,75.59,46.82,23.02,24.31,T
PAXG,top_20,2024-07-18,2442.0,2400,3300,20.43,3300,0.0,0.0,False,0,False,0,False,0,True,2,False,False,False,2024-07-19,SL,2400,2,-1.72,-1.72,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,False,False,False,85.59,85.95,33.48,31.73,7.14,U
FIL,all,2024-07-18,4.557,3.54,4.93,0.36,4.93,5.4,5.8,False,0,False,0,False,0,True,18,False,False,False,2024-08-04,SL,3.54,18,-22.32,-22.32,4.509,4.269,4.575,4.208,0.0,True,True,False,True,True,True,False,False,False,85.59,98.94,32.94,24.74,19.57,T
LINK,selected,2024-07-20,14.076,12.3,16.0,1.08,16.0,17.5,18.8,False,0,False,0,False,0,True,13,False,False,False,2024-08-01,SL,12.3,13,-12.62,-12.62,13.4,13.53,13.53,0.0,0.0,True,True,False,False,True,True,True,False,True,85.45,66.14,30.89,19.01,23.3,T
INJ,all,2024-07-20,26.4,23.2,28.8,0.75,28.8,31.0,33.0,False,0,False,0,False,0,True,6,False,False,False,2024-07-25,SL,23.2,6,-12.12,-12.12,23.91,0.0,0.0,0.0,0.0,True,True,False,True,True,True,False,False,False,85.45,80.18,21.35,30.15,16.92,T
SEI,all,2024-07-20,0.3847,0.287,0.443,0.68,0.443,0.48,0.53,False,0,False,0,False,0,True,14,False,False,False,2024-08-02,SL,0.287,14,-25.4,-25.4,0.3565,0.3724,0.3514,0.2798,0.0,True,True,False,True,True,True,False,False,True,85.45,71.31,26.11,24.94,18.17,T
DOGE,selected,2024-07-21,0.13423,0.117,0.1435,1.04,0.1435,0.154,0.16,True,1,False,0,False,0,True,12,True,True,False,2024-08-01,SL,0.117,12,6.91,-12.84,0.12526,0.13144,0.12551,0.0,0.0,True,True,False,True,True,True,False,True,False,88.27,83.1,30.52,28.24,19.82,T
PAXG,top_20,2024-07-21,2399.0,2324,2450,0.68,2450,3300,0.0,True,11,False,0,False,0,False,0,True,True,False,2024-08-19,TIMEOUT,2509.0,30,2.13,4.59,2370.0,2384.0,2400.0,2467.0,2427.0,True,True,False,True,True,True,True,False,True,88.27,65.96,32.73,23.76,14.62,U
ARB,all,2024-07-22,0.8026,0.68,0.86,0.5,0.86,0.92,0.97,False,0,False,0,False,0,True,4,False,False,False,2024-07-25,SL,0.68,4,-15.28,-15.28,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True,True,False,False,False,91.84,83.81,39.65,16.2,23.28,T
STX,all,2024-07-25,1.742,1.25,1.91,0.35,1.91,2.18,0.0,True,3,False,0,False,0,True,12,True,True,False,2024-08-05,SL,1.25,12,9.64,-28.24,1.836,1.729,1.494,0.0,0.0,True,False,False,True,False,True,True,False,True,68.66,51.04,17.54,21.17,19.69,T
NEAR,selected,2024-07-27,5.717,4.62,6.8,0.98,6.8,7.5,8.25,False,0,False,0,False,0,True,7,False,False,False,2024-08-02,SL,4.62,7,-19.19,-19.19,4.99,4.604,0.0,0.0,0.0,True,False,False,False,True,True,True,False,True,63.57,36.96,21.08,20.67,25.33,T
INJ,all,2024-07-27,25.77,21.7,28.8,0.74,28.8,31.0,33.0,False,0,False,0,False,0,True,6,False,False,False,2024-08-01,SL,21.7,6,-15.79,-15.79,21.96,0.0,0.0,0.0,0.0,True,False,False,True,False,True,True,False,True,63.57,54.59,18.58,24.35,20.06,T
TRX,top_20,2024-07-31,0.133,0.12,0.14,1.0,0.14,0.0,0.0,False,0,False,0,False,0,True,6,False,False,False,2024-08-05,SL,0.12,6,-9.77,-9.77,0.1264,0.0,0.0,0.0,0.0,False,False,False,True,True,True,True,False,True,44.57,44.28,26.93,25.53,20.28,U
SOL,top_3,2024-08-01,171.7,140,184.0,0.39,184.0,0.0,0.0,False,0,False,0,False,0,True,3,False,False,False,2024-08-03,SL,140,3,-18.46,-18.46,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,True,True,False,True,31.0,36.94,27.24,24.6,16.79,U
SOL,top_3,2024-08-05,138.32,98.0,154.0,0.39,154.0,184.0,0.0,True,3,False,0,False,0,False,0,True,True,False,2024-09-03,TIMEOUT,127.54,30,11.34,-7.79,156.28,141.57,143.71,142.42,158.92,False,False,False,False,True,True,True,True,True,22.74,21.89,25.45,16.26,32.57,T
XLM,top_20,2024-08-06,0.0879,0.0765,0.1,0.74,0.1,0.11,0.115,True,2,False,0,False,0,False,0,True,True,False,2024-09-04,TIMEOUT,0.0916,30,13.77,4.21,0.1013,0.0989,0.0956,0.0963,0.0971,False,False,False,False,True,True,True,True,True,6.73,15.14,20.67,12.51,37.61,T
TAO,selected,2024-08-06,228.9,193.1,298.1,1.92,298.1,333.5,0.0,True,3,True,18,False,0,False,0,True,True,True,2024-09-04,TIMEOUT,255.6,30,30.23,45.7,295.6,282.2,267.5,287.7,336.4,False,False,True,False,True,True,True,True,True,6.73,9.21,24.83,12.31,40.31,T
XRP,top_20,2024-08-07,0.5062,0.432,0.6,1.15,0.55,0.6,0.645,True,1,True,1,False,0,False,0,True,True,True,2024-09-05,TIMEOUT,0.5444,30,8.65,18.53,0.5528,0.577,0.5638,0.5937,0.5666,False,False,False,False,True,True,True,False,True,17.09,26.25,31.23,16.58,32.61,T
TRX,top_20,2024-08-07,0.1234,0.11,0.13,1.0,0.13,0.14,0.0,True,8,True,13,False,0,False,0,True,True,True,2024-09-05,TIMEOUT,0.1498,30,5.35,13.45,0.1277,0.1287,0.1341,0.1613,0.1579,False,False,False,False,True,True,True,False,True,17.09,23.46,25.75,18.15,37.43,T
AAVE,all,2024-08-07,103.65,85.5,117.6,0.77,117.6,129.4,153.7,True,13,True,14,False,0,False,0,True,True,True,2024-09-05,TIMEOUT,128.96,30,13.46,24.84,91.16,97.78,112.67,128.89,119.98,False,False,False,False,False,True,True,True,True,17.09,52.51,17.17,20.62,27.52,U
ICP,all,2024-08-07,7.662,5.54,9.7,0.95,9.7,10.5,0.0,False,0,False,0,False,0,False,0,False,False,False,2024-09-05,TIMEOUT,7.233,30,-5.6,-5.6,6.826,7.364,7.009,7.269,7.722,False,False,False,False,True,True,True,False,True,17.09,21.14,22.45,17.57,28.58,T
MKR,all,2024-08-07,1864.0,1450,2169,0.74,2169,2740,0.0,True,17,False,0,False,0,False,0,True,True,False,2024-09-05,TIMEOUT,1627.0,30,16.36,-12.71,1886.0,2139.0,1974.0,1940.0,1965.0,False,False,False,False,True,True,True,True,True,17.09,17.61,23.87,13.87,38.88,T
SUI,selected,2024-08-09,0.8525,0.76,0.97,1.33,0.97,1.08,1.17,True,4,True,4,False,0,True,24,True,True,True,2024-09-01,SL,0.76,24,13.78,26.69,0.9552,0.8452,0.8246,0.852,0.8034,False,True,True,True,True,True,False,True,True,39.23,60.76,31.24,31.94,27.54,T
APT,all,2024-08-13,6.44,5.33,7.45,0.91,7.45,8.8,0.0,True,13,False,0,False,0,False,0,True,True,False,2024-09-11,TIMEOUT,6.09,30,15.68,-5.43,5.83,6.04,6.51,7.02,6.35,False,False,False,True,True,True,True,True,True,44.8,55.83,28.75,24.67,23.71,T
JUP,all,2024-08-16,0.7694,0.55,0.885,0.52,0.885,1.0,1.12,True,8,False,0,False,0,False,0,True,True,False,2024-09-14,TIMEOUT,0.7704,30,15.02,0.13,0.7796,0.8036,0.8869,0.775,0.7076,True,False,False,False,True,True,True,False,True,60.06,53.65,22.27,14.27,23.87,T
LTC,top_20,2024-08-18,67.59,62.0,73.0,0.97,73.0,79.5,86.0,False,0,False,0,False,0,True,10,False,False,False,2024-08-27,SL,62.0,10,-8.27,-8.27,63.77,66.57,60.38,0.0,0.0,True,True,False,False,True,True,True,False,False,63.15,87.81,33.47,18.23,22.82,T
BNB,selected,2024-08-20,558.5,510,595,0.76,595,645,710,True,4,False,0,False,0,True,13,True,True,False,2024-09-01,SL,510,13,6.54,-8.68,580.5,548.2,536.4,0.0,0.0,False,True,False,True,True,True,False,False,True,43.78,70.73,24.74,22.08,20.67,T
PAXG,top_20,2024-08-21,2507.0,2450,3300,14.18,3300,0.0,0.0,False,0,False,0,False,0,False,0,False,False,False,2024-09-19,TIMEOUT,2590.0,30,3.31,3.31,2512.0,2508.0,2496.0,2493.0,2518.0,False,True,True,True,True,True,False,False,True,41.76,75.82,27.91,26.19,12.8,U
UNI,all,2024-08-22,7.101,6.25,7.7,0.71,7.7,8.5,9.14,False,0,False,0,False,0,True,5,False,False,False,2024-08-26,SL,6.25,5,-11.98,-11.98,6.292,0.0,0.0,0.0,0.0,True,True,False,False,True,True,False,True,True,60.61,75.83,41.72,22.98,23.17,T
